Fire_ID,Ig_Day,Order,Reburn_Polygon_ID,Year,erc_max_max,erc_max_mean,erc_mean_max,erc_mean_mean,vpd_max_max,vpd_max_mean,vpd_mean_max,vpd_mean_mean,FRG_max4
CA3920212274419960811,224,First,CA3920212274419960811_CA3924012311020180727_1,1996,89.45714569,86.20810011,82.9539032,79.62947938,4.126997948,3.761281612,2.69278717,2.52286325,Low
OR4335612252819960813,226,First,OR4335612252819960813_OR4334712249520080817_1,1996,63.82402039,60.16431193,53.64337921,48.86920582,2.924926519,2.680111426,1.71506238,1.526649108,Mixed
OR4335612252819960813,226,First,OR4335612252819960813_OR4330612262220170812_1,1996,63.82402039,62.15342105,53.64337921,51.81801041,2.924926519,2.79474118,1.71506238,1.614792686,Mixed
ID4546611650219960814,227,First,ID4546611650219960814_ID4539911656820050806_1,1996,85.52042389,83.31465944,73.56635284,70.76141272,3.42556119,2.688337603,2.296849966,1.77229347,Low
ID4557011468119960723,205,First,ID4557011468119960723_ID4542411459020120730_1,1996,62.86380386,59.71436621,48.76386642,46.48383246,2.085620165,1.880895265,1.316235423,1.180817514,Low
OR4487312131019960810,223,First,OR4487312131019960810_OR4504212118420100818_1,1996,66.11739349,64.63352949,60.21453094,57.86822438,3.750248194,3.398971797,2.05817914,1.796170757,Low
ID4541611481219980807,219,First,ID4541611481219980807_ID4542411459020120730_1,1998,61.34904861,58.3968475,43.364048,39.40483833,2.517661095,2.329106121,1.822954059,1.663770093,Low
ID4446211511519980823,235,First,ID4446211511519980823_ID4444511516620120727_1,1998,71.52169037,70.70869248,56.44290924,56.00039082,1.814152479,1.71483638,1.373537183,1.305169065,High
ID4536811434319980816,228,First,ID4536811434319980816_ID4542411459020120730_1,1998,76.02481079,72.05863153,62.6784668,57.36251147,3.064306498,2.712569255,2.289669514,2.010009953,Low
CA4083812250819990908,251,First,CA4083812250819990908_CA4065012263020180723_1,1999,85.97553253,82.32993058,74.08735657,70.13887523,3.313060999,3.136264825,2.413448095,2.298457374,Low
MT4566410972219991216,350,First,MT4566410972219991216_MT4559210981020060822_1,1999,61.99847412,61.64786596,54.5031662,54.19826819,0.729940951,0.71524432,0.414736122,0.411527163,High
CA4084112245519990823,235,First,CA4084112245519990823_CA4065012263020180723_1,1999,72.37082672,70.76478552,63.46629715,61.18582293,3.454061031,3.362800187,2.156432867,2.095687419,Low
CA4078612244619990823,235,First,CA4078612244619990823_CA4065012263020180723_1,1999,79.96631622,72.88414835,68.89737701,62.7234993,3.75510335,3.376450127,2.295623302,2.109415408,Low
CA4104812343519990823,235,First,CA4104812343519990823_CA4107312329420080621_1,1999,65.03033447,64.62966637,54.66013718,53.98815062,3.071583748,3.00098356,1.488325834,1.452421965,Low
CA4104812343519990823,235,First,CA4104812343519990823_CA4107012343620090702_1,1999,73.84806824,65.0061962,60.39410019,49.70315896,3.243874311,2.889048571,1.546823621,1.400647471,Low
CA4104812343519990823,235,First,CA4104812343519990823_CA4103512348820130810_1,1999,77.91751862,71.58166061,64.67668152,56.9482356,3.547847509,3.00753261,1.756767154,1.483541994,Low
CA4104812343519990823,235,First,CA4104812343519990823_CA4091312343720150731_1,1999,77.91751862,69.81503677,64.81465149,57.15769755,3.891631126,3.441641103,1.91800189,1.693332768,Low
CA4104812343519990823,235,First,CA4104812343519990823_CA4119412345820200727_1,1999,77.58338165,65.49337733,63.99876404,51.94701043,3.365235329,2.841338183,1.702531099,1.399711903,Low
ID4537911512519990802,214,First,ID4537911512519990802_ID4540111516420000731_1,1999,63.34206009,61.49339359,49.38943481,47.23307121,2.300516129,2.223314148,1.341258883,1.28534218,Low
ID4519911434120000710,192,First,ID4519911434120000710_ID4528611446020070713_1,2000,82.17417145,77.76351282,72.73466492,67.52730379,3.41902709,2.983949245,2.24254632,1.918042289,Low
OR4447912051520000823,236,First,OR4447912051520000823_OR4447912049720170909_1,2000,72.12433624,70.42201573,56.50050354,54.17499191,2.404324055,2.225503199,1.198158503,1.101014309,Low
MT4767311333220000726,208,First,MT4767311333220000726_MT4767511333320130811_1,2000,67.17971802,65.75588062,55.84608078,53.45967465,2.292369604,2.11023816,1.644721031,1.499348288,Low
MT4715911312120000728,210,First,MT4715911312120000728_MT4726811348520170724_1,2000,70.31851196,69.00083117,58.72406006,58.19461565,2.270354033,2.099555815,1.58412528,1.462845813,High
ID4546711474120000805,218,First,ID4546711474120000805_ID4542411459020120730_1,2000,76.25883484,71.77796088,65.86949921,60.73874183,2.325740337,1.98128157,1.692337871,1.412236783,Low
MT4783711353820000813,226,First,MT4783711353820000813_MT4784711358920150812_1,2000,70.86275482,69.56607639,62.96780396,59.7060772,1.898509026,1.819340252,1.31080091,1.25297854,Mixed
MT4729411319620000713,195,First,MT4729411319620000713_MT4726811348520170724_1,2000,64.89566803,61.33382051,47.29642487,44.10272954,1.935922384,1.890362659,1.131685257,1.110894419,Mixed
ID4537511565420000714,196,First,ID4537511565420000714_ID4510511570820070706_1,2000,74.11753082,69.55329936,62.23872757,57.85757841,2.985233307,2.535689534,1.979951978,1.673796907,Mixed
ID4567911483420000730,212,First,ID4567911483420000730_MT4565711478020130716_1,2000,74.02474213,72.94550932,63.76941299,62.58860863,2.382248878,2.219462106,1.742494822,1.624945131,Low
MT4620711124920000815,228,First,MT4620711124920000815_MT4617911126920120910_1,2000,78.86408234,78.65437352,69.7634964,69.23682825,2.74132061,2.544046638,1.91350317,1.752410887,Low
ID4557311483220000731,213,First,ID4557311483220000731_ID4542411459020120730_1,2000,72.72033691,67.41867139,64.1252594,56.60722543,2.308880568,1.862493329,1.6933285,1.331754551,Mixed
ID4551811500220000731,213,First,ID4551811500220000731_ID4542411459020120730_1,2000,79.16029358,74.90122471,68.36578369,63.80799466,3.080064535,2.687158856,2.270666599,1.968180661,Low
ID4546811459920000731,213,First,ID4546811459920000731_ID4542411459020120730_1,2000,74.21924591,72.23336018,63.59131622,62.03384089,2.376241207,2.190846512,1.751099706,1.610685513,Low
MT4589911360920000731,213,First,MT4589911360920000731_MT4599511358020170714_1,2000,72.1421814,70.5206407,62.84796143,61.05885012,2.260801077,2.102706165,1.551116705,1.416260287,High
