Fire_ID,Ig_Day,Order,Reburn_Polygon_ID,Year,gm_Date,eddi30d,spei30d,FRG_max4
MT4767311333220000726,208,First,MT4767311333220000726_MT4767511333320130811_1,2000,2000-225,0.899999976,-1.223387838,Low
MT4715911312120000728,210,First,MT4715911312120000728_MT4726811348520170724_1,2000,2000-225,0.976186819,-1.387220087,High
ID4546711474120000805,218,First,ID4546711474120000805_ID4542411459020120730_1,2000,2000-235,2.000137063,-1.719822254,Low
MT4783711353820000813,226,First,MT4783711353820000813_MT4784711358920150812_1,2000,2000-245,0.709999979,-1.140222121,Mixed
MT4729411319620000713,195,First,MT4729411319620000713_MT4726811348520170724_1,2000,2000-210,0.126743255,-0.494851529,Mixed
ID4537511565420000714,196,First,ID4537511565420000714_ID4510511570820070706_1,2000,2000-215,0.506775868,-0.901037141,Mixed
ID4567911483420000730,212,First,ID4567911483420000730_MT4565711478020130716_1,2000,2000-230,2.08890262,-1.679457897,Low
MT4620711124920000815,228,First,MT4620711124920000815_MT4617911126920120910_1,2000,2000-245,1.172643091,-1.066759438,Low
ID4557311483220000731,213,First,ID4557311483220000731_ID4542411459020120730_1,2000,2000-230,1.842735014,-1.438562744,Mixed
ID4551811500220000731,213,First,ID4551811500220000731_ID4542411459020120730_1,2000,2000-230,2.029973816,-1.652194111,Low
ID4546811459920000731,213,First,ID4546811459920000731_ID4542411459020120730_1,2000,2000-230,2.089999914,-1.450000048,Low
MT4589911360920000731,213,First,MT4589911360920000731_MT4599511358020170714_1,2000,2000-230,1.279999971,-1.448226489,High
ID4540111516420000731,213,First,ID4540111516420000731_ID4549311517620150809_1,2000,2000-230,1.724038644,-1.674297801,High
ID4540111516420000731,213,First,ID4540111516420000731_ID4549011522720170729_1,2000,2000-230,2.021225975,-1.93567234,High
ID4551811500220000731,213,Second,ID4557911514619880813_ID4551811500220000731_1,2000,2000-230,1.958923015,-1.806474761,Low
ID4540111516420000731,213,Second,ID4538711500819880625_ID4540111516420000731_1,2000,2000-230,2.073645195,-1.867682201,Low
ID4540111516420000731,213,Second,ID4538311527919890728_ID4540111516420000731_1,2000,2000-230,2.089999914,-2.089999914,High
ID4551811500220000731,213,Second,ID4552311499419900707_ID4551811500220000731_1,2000,2000-230,2.089999914,-1.713666893,Low
ID4540111516420000731,213,Second,ID4537911512519990802_ID4540111516420000731_1,2000,2000-230,2.089999914,-1.865996591,Low
ID4550511424720000817,230,First,ID4550511424720000817_ID4542411459020120730_1,2000,2000-245,0.882023761,-0.51854937,Mixed
CA4162512353920010915,258,First,CA4162512353920010915_CA4162312355820160607_1,2001,2001-275,0.894948076,-0.091340685,Low
WA4822012015920010709,190,First,WA4822012015920010709_WA4821112010220140714_1,2001,2001-205,-0.541839388,0.758033172,Low
WA4816212046320010812,224,First,WA4816212046320010812_WA4811712037720170831_1,2001,2001-240,-0.617274355,0.047931069,Low
MT4724611327520010913,256,First,MT4724611327520010913_MT4726811348520170724_1,2001,2001-275,1.129999995,-1.402190029,Mixed
MT4775511289820010929,272,Second,MT4781311293519880711_MT4775511289820010929_1,2001,2001-290,1.029006475,-1.092623651,High
ID4545011614520010805,217,First,ID4545011614520010805_ID4520811624820150812_1,2001,2001-235,0.170000002,-0.411529619,Low
WA4879411848120010813,225,First,WA4879411848120010813_WA4875611846220150811_1,2001,2001-240,0.343732898,-0.2236568,Mixed
OR4561911679520010814,226,Second,OR4558711675719860812_OR4561911679520010814_1,2001,2001-245,1.450000048,-1.46128199,Low
CA3939912270520010808,220,First,CA3939912270520010808_CA3924012311020180727_1,2001,2001-235,-0.353451212,0.237175551,Low
MT4865211410120010816,228,Second,MT4871911410119940812_MT4865211410120010816_1,2001,2001-245,1.152233339,-1.640742257,High
ID4544311453220020804,216,First,ID4544311453220020804_ID4542411459020120730_1,2002,2002-235,-0.630988352,-0.082664969,Mixed
OR4428811829120020712,193,First,OR4428811829120020712_OR4440811838320160731_1,2002,2002-210,2.009808616,-1.275079877,Low
OR4433311962820020713,194,First,OR4433311962820020713_OR4431411958420150629_1,2002,2002-210,1.898142364,-1.895783798,Low
OR4277812272720020713,194,First,OR4277812272720020713_OR4282612280720180716_1,2002,2002-210,1.014607179,-0.91359779,Low
OR4244112390420020713,194,First,OR4244112390420020713_OR4210312387320150611_1,2002,2002-210,1.450000048,-1.43760894,Low
OR4244112390420020713,194,First,OR4244112390420020713_OR4236212410720150802_1,2002,2002-210,1.360294987,-1.389374343,Low
OR4244112390420020713,194,First,OR4244112390420020713_OR4229712395420170712_1,2002,2002-210,1.378543152,-1.419691894,Low
OR4244112390420020713,194,First,OR4244112390420020713_OR4237012386020180716_1,2002,2002-210,1.359913619,-1.374904222,Low
OR4244112390420020713,194,First,OR4244112390420020713_OR4237012386020180716_2,2002,2002-210,1.12215988,-1.243790106,Low
OR4244112390420020713,194,First,OR4244112390420020713_OR4237012386020180716_3,2002,2002-210,1.090985541,-1.220576755,Low
OR4244112390420020713,194,Second,OR4236212395219870830_OR4244112390420020713_1,2002,2002-210,1.134128504,-1.272011638,Low
OR4328712265220020816,228,Second,OR4328212264819870830_OR4328712265220020816_1,2002,2002-245,0.881991114,-0.881991114,Mixed
WA4889812049420020817,229,First,WA4889812049420020817_WA4885512041420170723_1,2002,2002-245,0.670228135,-0.778769989,Mixed
WA4896412045520020817,229,First,WA4896412045520020817_WA4885512041420170723_1,2002,2002-245,0.709999979,-0.967452111,Mixed
CA3950412282120030903,246,First,CA3950412282120030903_CA3924012311020180727_1,2003,2003-265,1.272091497,-0.963052277,Low
CA3963412282820030928,271,First,CA3963412282820030928_CA3966012280920200817_1,2003,2003-290,1.327480835,-1.279999971,Low
ID4604911480020030821,233,First,ID4604911480020030821_ID4606011473320120728_1,2003,2003-250,1.690000057,-1.037625873,Low
OR4399212254720030713,194,First,OR4399212254720030713_OR4400312257520170811_1,2003,2003-210,1.81638379,-1.81638379,High
MT4780811332820030806,218,First,MT4780811332820030806_MT4784711358920150812_1,2003,2003-235,1.279999971,-0.948320868,High
ID4599911526820030715,196,First,ID4599911526820030715_ID4606811540520150815_1,2003,2003-215,1.690000057,-1.105538807,Mixed
MT4856111405520030723,204,First,MT4856111405520030723_MT4864311391620180811_1,2003,2003-220,1.690000057,-2.089999914,High
MT4870811400920030716,197,Second,MT4871911410119940812_MT4870811400920030716_1,2003,2003-215,1.690000057,-2.089999914,High
ID4555111522320030809,221,Second,ID4557911514619880813_ID4555111522320030809_1,2003,2003-240,1.271983521,0.243826618,Low
ID4555111522320030809,221,Second,ID4554211520319880906_ID4555111522320030809_1,2003,2003-240,1.283199583,0.237855641,Mixed
MT4760011331820030718,199,Second,MT4755711337219850629_MT4760011331820030718_1,2003,2003-215,1.450000048,-1.387585345,High
OR4451112177120030819,231,First,OR4451112177120030819_OR4472312167920200817_1,2003,2003-250,1.294638458,-0.53792229,Mixed
OR4451112177120030819,231,Second,OR4457412175119870901_OR4451112177120030819_1,2003,2003-250,1.40736586,-0.52668849,Mixed
OR4294312309320040820,233,Second,OR4291712307519870715_OR4294312309320040820_1,2004,2004-250,0.114944551,0.513325269,Low
CA4074012270320040814,227,First,CA4074012270320040814_CA4065012263020180723_1,2004,2004-245,0.28065421,-0.361363668,Low
ID4539911656820050806,218,Second,ID4535711661519860811_ID4539911656820050806_1,2005,2005-235,1.129999995,-1.279999971,Low
ID4523011471220050806,218,Second,ID4519911475819880824_ID4523011471220050806_1,2005,2005-235,1.091548774,-1.065877229,Low
ID4539911656820050806,218,Second,ID4546611650219960814_ID4539911656820050806_1,2005,2005-235,1.187985809,-1.322395978,Low
ID4524911525120050807,219,Second,ID4529711522619860811_ID4524911525120050807_1,2005,2005-235,1.473737092,-1.23392751,Mixed
ID4570211495320050808,220,First,ID4570211495320050808_ID4569811508120120809_1,2005,2005-235,1.449934111,-1.130058175,High
ID4550011471520050801,213,First,ID4550011471520050801_ID4542411459020120730_1,2005,2005-230,1.126077637,-0.947243232,Mixed
ID4543911498720050801,213,Second,ID4543811494219860812_ID4543911498720050801_1,2005,2005-230,1.690000057,-1.151719249,Low
OR4431412180120060805,217,First,OR4431412180120060805_OR4435412173920070830_1,2006,2006-235,0.433159636,-0.390109874,Mixed
ID4495511537120060806,218,First,ID4495511537120060806_ID4475011554820070717_1,2006,2006-235,0.390288374,-0.710202515,High
WA4897812059620060822,234,First,WA4897812059620060822_WA4885512041420170723_1,2006,2006-250,1.964845593,-1.553605177,Low
MT4559210981020060822,234,Second,MT4557410993319901005_MT4559210981020060822_1,2006,2006-250,0.380895724,-0.563902815,Mixed
MT4559210981020060822,234,Second,MT4566410972219991216_MT4559210981020060822_1,2006,2006-250,0.295500608,-0.408676417,High
